"","nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil","village.id","ln.exptot","ln.lands","program.male","program.female"
"43",23054,1,3,2,27,1,0,3,1,1119.90795898438,1428.02355957031,244.958740234375,1672.98229980469,0,0,1.49743592739105,1,0.75,10.1502237319946,6.09013414382935,8.12017822265625,6.86846923828125,1.69170391559601,35.1874389648438,23,7.42296075820923,0.00995033048093319,0,1
"44",23061,1,3,2,25,1,0,2,12,16105.0224609375,5290.97314453125,1031.60107421875,6322.57421875,0,0,0.752136707305908,1,0.75,10.1502237319946,6.09013414382935,8.12017822265625,6.86846923828125,1.69170391559601,35.1874389648438,23,8.75203990936279,0.113328687846661,0,1
"45",23081,1,3,2,47,1,0,10,27,24900,4214.2373046875,1152.05029296875,5366.28759765625,0,1,0.752136707305908,1,0.75,10.1502237319946,6.09013414382935,8.12017822265625,6.86846923828125,1.69170391559601,35.1874389648438,23,8.58807754516602,0.239016905426979,0,1
"46",23121,1,3,2,22,1,6,2,178,231195.015625,4191.36572265625,1544.86376953125,5736.2294921875,0,0,0.752136707305908,1,0.75,10.1502237319946,6.09013414382935,8.12017822265625,6.86846923828125,1.69170391559601,35.1874389648438,23,8.65473175048828,1.02245092391968,0,1
"47",24015,1,4,2,45,1,9,4,152,360948.6875,3265.66528320312,5640.8173828125,8906.482421875,0,1,0.427672952413559,1,0.776451647281647,8.12017822265625,6.76681566238403,9.47354221343994,5.49477481842041,2.03004455566406,37.8941688537598,24,9.09464645385742,0.924258887767792,1,1
"48",24025,1,4,2,62,1,14,7,434,918899.6875,5049.20458984375,1758.4052734375,6807.60986328125,0,0,0.427672952413559,1,0.776451647281647,8.12017822265625,6.76681566238403,9.47354221343994,5.49477481842041,2.03004455566406,37.8941688537598,24,8.82594299316406,1.6752256155014,1,1
"49",24034,1,4,2,32,1,0,3,1,4973.609375,2789.732421875,845.62646484375,3635.35888671875,0,0,2.96855354309082,1,0.776451647281647,8.12017822265625,6.76681566238403,9.47354221343994,5.49477481842041,2.03004455566406,37.8941688537598,24,8.19873809814453,0.00995033048093319,1,1
"50",24035,1,4,2,50,1,8,9,152,416693.75,2891.68603515625,1132.01293945312,4023.69897460938,0,1,0.427672952413559,1,0.776451647281647,8.12017822265625,6.76681566238403,9.47354221343994,5.49477481842041,2.03004455566406,37.8941688537598,24,8.30020523071289,0.924258887767792,1,1
"51",24041,1,4,2,55,1,0,3,1,1218.02685546875,2530.337890625,1033.06713867188,3563.40502929688,0,1,0.301886796951294,1,0.776451647281647,8.12017822265625,6.76681566238403,9.47354221343994,5.49477481842041,2.03004455566406,37.8941688537598,24,8.17875289916992,0.00995033048093319,1,1
"52",24055,1,4,2,69,1,8,2,448,1009676.5625,4296.927734375,3221.00439453125,7517.93212890625,0,0,0.427672952413559,1,0.776451647281647,8.12017822265625,6.76681566238403,9.47354221343994,5.49477481842041,2.03004455566406,37.8941688537598,24,8.92517948150635,1.70110511779785,1,1
"53",24061,1,4,2,36,1,0,4,2,8208.1474609375,2336.91967773438,650.62939453125,2987.54907226562,0,1,0.301886796951294,1,0.776451647281647,8.12017822265625,6.76681566238403,9.47354221343994,5.49477481842041,2.03004455566406,37.8941688537598,24,8.00254344940186,0.0198026280850172,1,1
"54",24071,1,4,2,30,1,0,4,1,3281.9052734375,2860.67138671875,779.367919921875,3640.03930664062,1,0,0.301886796951294,1,0.776451647281647,8.12017822265625,6.76681566238403,9.47354221343994,5.49477481842041,2.03004455566406,37.8941688537598,24,8.20002460479736,0.00995033048093319,1,1
"55",24091,1,4,2,37,1,0,4,9,33820.54296875,2751.048828125,1348.79541015625,4099.84423828125,1,1,0.301886796951294,1,0.776451647281647,8.12017822265625,6.76681566238403,9.47354221343994,5.49477481842041,2.03004455566406,37.8941688537598,24,8.31894779205322,0.0861776992678642,1,1
"56",24101,1,4,2,30,1,0,7,8.5,30755.17578125,2052.6650390625,1425.18798828125,3477.85302734375,0,1,0.301886796951294,1,0.776451647281647,8.12017822265625,6.76681566238403,9.47354221343994,5.49477481842041,2.03004455566406,37.8941688537598,24,8.15445804595947,0.0815799906849861,1,1
"57",31011,1,1,3,52,1,1,7,6,131550,4900.33447265625,1377.9169921875,6278.25146484375,0,1,0.677208304405212,1,0.150000005960464,9.6991024017334,6.09013414382935,13.5336313247681,6.56320381164551,2.03004455566406,37.8941688537598,31,8.74500560760498,0.0582689084112644,0,1
"58",31014,1,1,3,42,1,10,8,3,272465.84375,3921.03125,1555.52197265625,5476.55322265625,0,0,1.28753185272217,1,0.150000005960464,9.6991024017334,6.09013414382935,13.5336313247681,6.56320381164551,2.03004455566406,37.8941688537598,31,8.60841369628906,0.02955880202353,0,1
"59",31024,1,1,3,50,1,12,6,32,1355562.5,5295.7099609375,3779.2666015625,9074.9765625,0,0,1.28753185272217,1,0.150000005960464,9.6991024017334,6.09013414382935,13.5336313247681,6.56320381164551,2.03004455566406,37.8941688537598,31,9.1133861541748,0.277631729841232,0,1
"60",31025,1,1,3,35,1,9,8,60,357200,4181.5537109375,15745.3642578125,19926.91796875,0,1,1.93129765987396,1,0.150000005960464,9.6991024017334,6.09013414382935,13.5336313247681,6.56320381164551,2.03004455566406,37.8941688537598,31,9.89987659454346,0.470003634691238,0,1
"61",31035,1,1,3,70,1,10,5,6,588036.25,7277.845703125,3790.76953125,11068.615234375,0,0,1.93129765987396,1,0.150000005960464,9.6991024017334,6.09013414382935,13.5336313247681,6.56320381164551,2.03004455566406,37.8941688537598,31,9.3119592666626,0.0582689084112644,0,1
